[2021-03-21 20:24:38.648] [exthost] [info] extension host started
[2021-03-21 20:24:39.165] [exthost] [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication {"startup":false,"extensionId":{"value":"vscode.microsoft-authentication","_lower":"vscode.microsoft-authentication"},"activationEvent":"onAuthenticationRequest:microsoft"}
[2021-03-21 20:24:39.165] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/microsoft-authentication/dist/extension.js
[2021-03-21 20:24:39.193] [exthost] [info] ExtensionService#_doActivateExtension vscode.php-language-features {"startup":false,"extensionId":{"value":"vscode.php-language-features","_lower":"vscode.php-language-features"},"activationEvent":"onLanguage:php"}
[2021-03-21 20:24:39.193] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/php-language-features/dist/phpMain
[2021-03-21 20:24:39.215] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch {"startup":true,"extensionId":{"value":"vscode.debug-auto-launch","_lower":"vscode.debug-auto-launch"},"activationEvent":"*"}
[2021-03-21 20:24:39.215] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/debug-auto-launch/dist/extension
[2021-03-21 20:24:39.225] [exthost] [info] ExtensionService#_doActivateExtension vscode.git {"startup":true,"extensionId":{"value":"vscode.github","_lower":"vscode.github"},"activationEvent":"*"}
[2021-03-21 20:24:39.226] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/git/dist/main
[2021-03-21 20:24:39.346] [exthost] [info] ExtensionService#_doActivateExtension vscode.npm {"startup":true,"extensionId":{"value":"vscode.npm","_lower":"vscode.npm"},"activationEvent":"workspaceContains:package.json"}
[2021-03-21 20:24:39.347] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/npm/dist/npmMain
[2021-03-21 20:24:39.697] [exthost] [info] ExtensionService#_doActivateExtension vscode.github {"startup":true,"extensionId":{"value":"vscode.github","_lower":"vscode.github"},"activationEvent":"*"}
[2021-03-21 20:24:39.697] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/github/dist/extension.js
[2021-03-21 20:24:39.841] [exthost] [info] ExtensionService#_doActivateExtension ms-vscode.js-debug {"startup":false,"extensionId":{"value":"ms-vscode.js-debug","_lower":"ms-vscode.js-debug"},"activationEvent":"onCommand:extension.js-debug.clearAutoAttachVariables"}
[2021-03-21 20:24:39.841] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/ms-vscode.js-debug/src/extension.js
[2021-03-21 20:24:40.033] [exthost] [info] eager extensions activated
[2021-03-21 20:24:40.208] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet {"startup":false,"extensionId":{"value":"vscode.emmet","_lower":"vscode.emmet"},"activationEvent":"onStartupFinished"}
[2021-03-21 20:24:40.208] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/emmet/dist/node/emmetNodeMain
[2021-03-21 20:24:40.226] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict {"startup":false,"extensionId":{"value":"vscode.merge-conflict","_lower":"vscode.merge-conflict"},"activationEvent":"onStartupFinished"}
[2021-03-21 20:24:40.227] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/merge-conflict/dist/mergeConflictMain
[2021-03-21 20:24:40.234] [exthost] [info] ExtensionService#_doActivateExtension vscode.testing-editor-contributions {"startup":false,"extensionId":{"value":"vscode.testing-editor-contributions","_lower":"vscode.testing-editor-contributions"},"activationEvent":"onStartupFinished"}
[2021-03-21 20:24:40.234] [exthost] [info] ExtensionService#loadCommonJSModule file:///snap/code/59/usr/share/code/resources/app/extensions/testing-editor-contributions/dist/extension.js
[2021-03-21 20:24:40.276] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.279] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
[2021-03-21 20:24:40.279] [exthost] [error] {"message":"Git error","stdout":".gitignore\u00001\u0000/node_modules\u0000/opt/lampp/htdocs/lsapp/node_modules\u0000.gitignore\u00003\u0000/public/storage\u0000/opt/lampp/htdocs/lsapp/public/storage\u0000","stderr":"fatal: pathspec '/opt/lampp/htdocs/lsapp/public/storage/cover_images' is beyond a symbolic link\n","exitCode":128}
